state,totalsamples,date_year,date_month,date_day,date_dayofweek,date_quarter,date_week_of_year,state_encoded
Andaman and Nicobar Islands,-0.13072717924973531,2020,4,17,4,2,16,0
Andaman and Nicobar Islands,-0.13054776577852545,2020,4,24,4,2,17,0
Andaman and Nicobar Islands,-0.13052400333602196,2020,4,27,0,2,18,0
Andaman and Nicobar Islands,-0.1303966141472162,2020,5,1,4,2,18,0
Andaman and Nicobar Islands,-0.1299856223162237,2020,5,16,5,2,20,0
Andaman and Nicobar Islands,-0.12994512773964967,2020,5,19,1,2,21,0
Andaman and Nicobar Islands,-0.12992867681791648,2020,5,20,2,2,21,0
Andaman and Nicobar Islands,-0.12991672529358042,2020,5,21,3,2,21,0
Andaman and Nicobar Islands,-0.12990322710138907,2020,5,22,4,2,21,0
Andaman and Nicobar Islands,-0.12989422830659483,2020,5,23,5,2,21,0
Andaman and Nicobar Islands,-0.12989422830659483,2020,5,24,6,2,21,0
Andaman and Nicobar Islands,-0.1298891664845231,2020,5,25,0,2,22,0
Andaman and Nicobar Islands,-0.129877214960187,2020,5,26,1,2,22,0
Andaman and Nicobar Islands,-0.12987004404558536,2020,5,27,2,2,22,0
Andaman and Nicobar Islands,-0.12986723192221217,2020,5,28,3,2,22,0
Andaman and Nicobar Islands,-0.1298604828261165,2020,5,29,4,2,22,0
Andaman and Nicobar Islands,-0.1298604828261165,2020,5,30,5,2,22,0
Andaman and Nicobar Islands,-0.1298409385686728,2020,5,31,6,2,22,0
Andaman and Nicobar Islands,-0.12982701855797546,2020,6,1,0,2,23,0
Andaman and Nicobar Islands,-0.12978750822458207,2020,6,2,1,2,23,0
Andaman and Nicobar Islands,-0.1297581215353322,2020,6,3,2,2,23,0
Andaman and Nicobar Islands,-0.12974153000743033,2020,6,4,3,2,23,0
Andaman and Nicobar Islands,-0.12970201967403694,2020,6,5,4,2,23,0
Andaman and Nicobar Islands,-0.12965379175818664,2020,6,6,5,2,23,0
Andaman and Nicobar Islands,-0.12962496749361138,2020,6,7,6,2,23,0
Andaman and Nicobar Islands,-0.12961104748291408,2020,6,8,0,2,24,0
Andaman and Nicobar Islands,-0.1295382134875483,2020,6,9,1,2,24,0
Andaman and Nicobar Islands,-0.1295169819560807,2020,6,10,2,2,24,0
Andaman and Nicobar Islands,-0.12948661102365017,2020,6,11,3,2,24,0
Andaman and Nicobar Islands,-0.12942038551821142,2020,6,12,4,2,24,0
Andaman and Nicobar Islands,-0.1293841091266972,2020,6,13,5,2,24,0
Andaman and Nicobar Islands,-0.12932772605306464,2020,6,14,6,2,24,0
Andaman and Nicobar Islands,-0.12930494785374175,2020,6,15,0,2,25,0
Andaman and Nicobar Islands,-0.12926403145866175,2020,6,16,1,2,25,0
Andaman and Nicobar Islands,-0.12920357080613806,2020,6,17,2,2,25,0
Andaman and Nicobar Islands,-0.12914971864354136,2020,6,18,3,2,25,0
Andaman and Nicobar Islands,-0.12910641194359415,2020,6,19,4,2,25,0
Andaman and Nicobar Islands,-0.12905157553781685,2020,6,20,5,2,25,0
Andaman and Nicobar Islands,-0.12903554643458962,2020,6,21,6,2,25,0
Andaman and Nicobar Islands,-0.12902471975960284,2020,6,22,0,2,26,0
Andaman and Nicobar Islands,-0.12899491125184695,2020,6,23,1,2,26,0
Andaman and Nicobar Islands,-0.12895680698014014,2020,6,24,2,2,26,0
Andaman and Nicobar Islands,-0.12891701543440945,2020,6,25,3,2,26,0
Andaman and Nicobar Islands,-0.12887398994679955,2020,6,26,4,2,26,0
Andaman and Nicobar Islands,-0.12883630749359873,2020,6,27,5,2,26,0
Andaman and Nicobar Islands,-0.12880214019461442,2020,6,28,6,2,26,0
Andaman and Nicobar Islands,-0.1287577086453179,2020,6,29,0,2,27,0
Andaman and Nicobar Islands,-0.12871566740088863,2020,6,30,1,2,27,0
Andaman and Nicobar Islands,-0.12867728191684452,2020,7,1,2,3,27,0
Andaman and Nicobar Islands,-0.12863566249092123,2020,7,2,3,3,27,0
Andaman and Nicobar Islands,-0.12858673154422764,2020,7,3,4,3,27,0
Andaman and Nicobar Islands,-0.12855776667348373,2020,7,4,5,3,27,0
Andaman and Nicobar Islands,-0.12854693999849692,2020,7,5,6,3,27,0
Andaman and Nicobar Islands,-0.1285207872511262,2020,7,6,0,3,28,0
Andaman and Nicobar Islands,-0.12848057388688952,2020,7,7,1,3,28,0
Andaman and Nicobar Islands,-0.12844373507070064,2020,7,8,2,3,28,0
Andaman and Nicobar Islands,-0.12841434838145074,2020,7,9,3,3,28,0
Andaman and Nicobar Islands,-0.12838707078473077,2020,7,10,4,3,28,0
Andaman and Nicobar Islands,-0.12834924772536127,2020,7,11,5,3,28,0
Andaman and Nicobar Islands,-0.12833068771109818,2020,7,12,6,3,28,0
Andaman and Nicobar Islands,-0.12830790951177531,2020,7,13,0,3,29,0
Andaman and Nicobar Islands,-0.12826924281539387,2020,7,14,1,3,29,0
Andaman and Nicobar Islands,-0.1282443555235411,2020,7,15,2,3,29,0
Andaman and Nicobar Islands,-0.12822101489954357,2020,7,16,3,3,29,0
Andaman and Nicobar Islands,-0.12819373730282357,2020,7,17,4,3,29,0
Andaman and Nicobar Islands,-0.12815858576065864,2020,7,18,5,3,29,0
Andaman and Nicobar Islands,-0.1281258245233609,2020,7,19,6,3,29,0
Andaman and Nicobar Islands,-0.12807000387440298,2020,7,20,0,3,30,0
Andaman and Nicobar Islands,-0.12802205717089,2020,7,21,1,3,30,0
Andaman and Nicobar Islands,-0.12796567409725743,2020,7,22,2,3,30,0
Andaman and Nicobar Islands,-0.12792813225022526,2020,7,23,3,3,30,0
