unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,birth_date_year,birth_date_month,birth_date_day,death_date_year,death_date_month,death_date_day,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-1.4288096312943575,-1.6792033528422232,The Nobel Prize in Chemistry 1905,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",164,Berlin,Prussia (Germany),Munich University,Munich,Germany,Starnberg,Germany,False,-1.6888979545202814,False,0.8139400965490087,1835,10,31,1917,8,20,1,0,0,0,0,0,59,378,1,0,0,0,1,0,30,66,1,101,80,11,238,14,0,1,0
-1.281119999219837,-1.5085596718856893,The Nobel Prize in Chemistry 1910,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",169,Koenigsberg (Kaliningrad),Germany (Russia),Goettingen University,Göttingen,Germany,Göttingen,Germany,False,-1.3490411403035243,False,0.2597080539277761,1847,3,27,1931,2,26,1,0,0,0,0,0,64,380,1,0,0,0,1,0,179,37,1,44,48,11,101,14,1,0,0
-1.5526783549697618,-1.8157182976074502,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160,Rotterdam,Netherlands,Berlin University,Berlin,Germany,Berlin,Germany,False,-1.6888979545202814,False,-0.8487560313146892,1852,8,30,1911,3,1,1,0,0,0,0,0,55,394,1,0,0,0,1,0,316,56,1,9,7,11,22,14,1,0,0
-1.4049887228952411,-1.6450746166509165,The Nobel Prize in Chemistry 1906,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",165,Paris,France,Sorbonne University,Paris,France,Paris,France,False,-1.6888979545202814,False,-0.45287600087095164,1852,9,28,1907,2,20,1,0,0,0,0,0,60,400,1,0,0,0,1,0,283,31,1,131,93,10,195,12,1,0,0
-1.457394721373297,-1.71333208903353,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",163,Glasgow,Scotland,University College,London,United Kingdom,High Wycombe,United Kingdom,False,-1.6888979545202814,False,-0.6112280130484467,1852,10,2,1916,7,23,1,0,0,0,0,0,58,379,1,0,0,0,1,0,125,80,1,151,65,25,109,45,1,0,0
-1.5240932648908223,-1.7815895614161434,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161,Euskirchen,Prussia (Germany),Berlin University,Berlin,Germany,Berlin,Germany,False,-1.6888979545202814,False,-0.7695800252259417,1852,10,9,1919,7,15,1,0,0,0,0,0,56,393,1,0,0,0,1,0,107,66,1,9,7,11,22,14,1,0,0
-1.3144692709785997,-1.5426884080769963,The Nobel Prize in Chemistry 1909,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",168,Riga,Russian Empire (Latvia),Leipzig University,Leipzig,Germany,Leipzig,Germany,False,-1.6888979545202814,False,-0.2945239886934566,1853,9,2,1932,4,4,1,0,0,0,0,0,63,385,1,0,0,0,1,0,311,74,1,86,61,11,131,14,1,0,0
-1.223949819061958,-1.4403021995030758,The Nobel Prize in Chemistry 1912,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",173,Carcassonne,France,Toulouse University,Toulouse,France,Toulouse,France,False,-1.3490411403035243,False,-0.13617197651596155,1854,11,5,1941,8,14,1,0,0,0,0,0,66,148,0,1,0,0,1,0,71,31,1,147,122,10,248,12,1,0,0
-1.4907439931320596,-1.7474608252248367,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",162,Vik,Sweden,Stockholm University,Stockholm,Sweden,Stockholm,Sweden,False,-1.6888979545202814,False,-1.244636061758427,1859,2,19,1927,10,2,1,0,0,0,0,0,57,396,1,0,0,0,1,0,393,84,1,135,116,22,239,40,1,0,0
-1.3764036328163018,-1.6109458804596097,The Nobel Prize in Chemistry 1907,"""for his biochemical researches and his discovery of cell-free fermentation""",166,Munich,Bavaria (Germany),Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,Focsani,Romania,False,-1.6888979545202814,False,-1.0071080434921842,1860,5,20,1917,8,13,1,0,0,0,0,0,61,41,1,0,0,0,1,0,245,14,1,84,7,11,90,35,1,0,0
-1.0905527320269073,-1.1672723099726217,The Nobel Prize in Chemistry 1920,"""in recognition of his work in thermochemistry""",178,Briesen,Prussia (Germany),Berlin University,Berlin,Germany,Muskau,Germany,False,-1.0091843260867674,False,-0.2945239886934566,1864,6,25,1941,11,18,1,0,0,0,0,0,71,383,1,0,0,0,1,0,50,66,1,9,7,11,168,14,1,0,0
-0.9762123717111495,-0.996628629016088,The Nobel Prize in Chemistry 1925,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",182,Vienna,Austrian Empire (Austria),Goettingen University,Göttingen,Germany,Göttingen,Germany,False,-1.0091843260867674,False,0.0221800356615335,1865,4,1,1929,9,24,1,0,0,0,0,0,75,57,1,0,0,0,1,0,392,11,1,44,48,11,101,14,1,0,0
-0.866636193075215,-0.8601136842508609,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",186,Manchester,United Kingdom,London University,London,United Kingdom,Bourne,United Kingdom,False,-1.0091843260867674,False,0.3388840600165236,1865,10,12,1940,6,17,1,0,0,0,0,0,79,342,0,1,0,0,1,0,220,88,1,88,65,25,37,45,1,0,0
-1.2001289106628419,-1.406173463311769,The Nobel Prize in Chemistry 1913,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",174,Mulhouse,France,University of Zurich,Zurich,Switzerland,Zurich,Switzerland,False,-1.3490411403035243,False,-1.0071080434921842,1866,12,12,1919,11,15,1,0,0,0,0,0,67,386,1,0,0,0,1,0,244,31,1,181,134,23,282,41,1,0,0
-1.2572990908207207,-1.4744309356943825,The Nobel Prize in Chemistry 1911,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",6,Warsaw,Russian Empire (Poland),Sorbonne University,Paris,France,Sallanches,France,False,-1.3490411403035243,True,-1.244636061758427,1867,11,7,1934,7,4,1,0,0,0,0,0,65,372,1,0,0,0,1,0,402,76,0,131,93,10,223,12,1,0,0
-1.1763080022637256,-1.3720447271204623,The Nobel Prize in Chemistry 1914,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",175,"Germantown, PA",United States of America,Harvard University,"Cambridge, MA",United States of America,"Cambridge, MA",United States of America,True,-1.3490411403035243,False,-1.0862840495809318,1868,1,31,1928,4,2,1,0,0,0,0,0,68,373,1,0,0,0,1,0,123,89,1,50,27,26,53,46,1,0,0
-1.1191378221058468,-1.2355297823552354,The Nobel Prize in Chemistry 1918,"""for the synthesis of ammonia from its elements""",177,Breslau (Wroclaw),Prussia (Poland),Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,Basel,Switzerland,False,-1.3490411403035243,False,-0.7695800252259417,1868,12,9,1934,1,29,1,0,0,0,0,0,70,278,1,0,0,0,1,0,48,67,1,70,8,11,14,41,1,0,0
-1.0143258251497353,-1.0648861013987014,The Nobel Prize in Chemistry 1923,"""for his invention of the method of micro-analysis of organic substances""",181,Laibach (Ljubljana),Austria-Hungary (Slovenia),Graz University,Graz,Austria,Graz,Austria,False,-1.0091843260867674,False,-0.45287600087095164,1869,9,3,1930,12,13,1,0,0,0,0,0,74,134,1,0,0,0,1,0,188,9,1,45,44,3,96,2,1,0,0
-1.2287140007417814,-1.4403021995030758,The Nobel Prize in Chemistry 1912,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",172,Cherbourg,France,Nancy University,Nancy,France,Lyon,France,False,-1.3490411403035243,False,-1.4821640800246694,1871,5,6,1935,12,13,1,0,0,0,0,0,66,259,0,1,0,0,1,0,79,31,1,103,84,10,145,12,1,0,0
-1.3478185427373623,-1.576817144268303,The Nobel Prize in Chemistry 1908,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",167,Nelson,New Zealand,Victoria University,Manchester,United Kingdom,Cambridge,United Kingdom,False,-1.6888979545202814,False,-1.7988681043796595,1871,8,30,1937,10,19,1,0,0,0,0,0,62,136,1,0,0,0,1,0,253,57,1,189,72,25,52,45,1,0,0
-1.162015457224256,-1.3379159909291556,The Nobel Prize in Chemistry 1915,"""for his researches on plant pigments, especially chlorophyll""",176,Karlsruhe,Germany,Munich University,Munich,Germany,Locarno,Switzerland,False,-1.3490411403035243,False,-1.3238120678471743,1872,8,13,1942,8,3,1,0,0,0,0,0,69,178,1,0,0,0,1,0,168,34,1,101,80,11,140,41,1,0,0
-0.8618720113953917,-0.8601136842508609,The Nobel Prize in Chemistry 1929,"""for their investigations on the fermentation of sugar and fermentative enzymes""",187,Augsburg,Germany,Stockholm University,Stockholm,Sweden,Stockholm,Sweden,False,-1.0091843260867674,False,-0.2945239886934566,1873,2,15,1964,11,6,1,0,0,0,0,0,79,342,0,1,0,0,1,0,19,34,1,135,116,22,239,40,1,0,0
-0.8094660129173361,-0.7918562118682473,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",189,Cologne,Germany,University of Heidelberg,Heidelberg,Germany,Heidelberg,Germany,False,-0.6693275118700105,False,-0.21534798260470905,1874,8,27,1940,4,26,1,0,0,0,0,0,81,405,0,1,0,0,1,0,88,34,1,162,52,11,105,14,1,0,0
-0.3616329350139514,-0.14341022423341881,The Nobel Prize in Chemistry 1950,"""for their discovery and development of the diene synthesis""",210,Hamburg,Germany,Kiel University,Kiel,Federal Republic of Germany,Kiel,West Germany (Germany),False,0.010386116563503373,False,1.1306441209039988,1876,1,23,1954,3,7,1,0,0,0,0,0,96,324,0,1,0,0,1,0,137,34,1,78,58,8,119,48,0,1,0
-0.8856929197945079,-0.8942424204421676,The Nobel Prize in Chemistry 1928,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",185,Berlin,Germany,Goettingen University,Göttingen,Germany,Göttingen,West Germany (Germany),False,-1.0091843260867674,False,-0.6112280130484467,1876,12,25,1959,6,9,1,0,0,0,0,0,78,275,1,0,0,0,1,0,30,34,1,44,48,11,101,48,1,0,0
