unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-1.7301505866922622,-2.0780645979107857,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",160,Rotterdam,Netherlands,Berlin University,Berlin,Germany,Berlin,Germany,False,-1.9617234557600494,False,-0.8611161274066467,1,0,0,0,0,0,97,525,1,0,0,0,1,0,444,70,1,14,12,12,23,14,1,0,0
-1.726348057930301,-2.0780645979107857,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",569,Paris,France,University of California,"Cambridge, MA",United States of America,Châtenay,France,False,-1.9617234557600494,False,0.20709360307171487,0,0,1,0,0,0,205,542,1,0,0,0,1,0,396,39,1,223,35,28,64,12,1,0,0
-1.72254552916834,-2.0780645979107857,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",293,Hansdorf (Lawice),Prussia (Poland),Marburg University,Marburg,Germany,Marburg,Germany,False,-1.9617234557600494,False,-1.0254560859417792,0,0,0,1,0,0,424,258,1,0,0,0,1,0,204,86,1,126,98,12,153,14,1,0,0
-1.718743000406379,-2.0780645979107857,The Nobel Peace Prize 1901,"""for development of methods to cool and trap atoms with laser light""",462,Geneva,Switzerland,University of California,"Cambridge, MA",United States of America,Heiden,Switzerland,False,-1.9617234557600494,False,1.110963375014944,0,0,0,0,1,0,0,21,0,1,0,0,1,0,174,105,1,223,35,28,107,41,0,1,0
-1.714940471644418,-2.0780645979107857,The Nobel Peace Prize 1901,"""for development of methods to cool and trap atoms with laser light""",463,Paris,France,University of California,"Cambridge, MA",United States of America,Paris,France,False,-1.9617234557600494,False,1.6039832506203415,0,0,0,0,1,0,0,21,0,1,0,0,1,0,396,39,1,223,35,28,197,12,0,1,0
-1.7111379428824571,-2.0780645979107857,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1,Lennep (Remscheid),Prussia (Germany),Munich University,Munich,Germany,Munich,Germany,False,-1.9617234557600494,False,-0.28592627253368275,0,0,0,0,0,1,314,526,1,0,0,0,1,0,283,85,1,147,107,12,169,14,1,0,0
-1.707335414120496,-2.0475953252542363,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",161,Euskirchen,Prussia (Germany),Berlin University,Berlin,Germany,Berlin,Germany,False,-1.9617234557600494,False,-0.7789461481390804,1,0,0,0,0,0,98,524,1,0,0,0,1,0,151,85,1,14,12,12,23,14,1,0,0
-1.703532885358535,-2.0475953252542363,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",571,Garding,Schleswig (Germany),University of California,"Cambridge, MA",United States of America,Charlottenburg,Germany,False,-1.9617234557600494,False,2.097003126225739,0,0,1,0,0,0,206,549,1,0,0,0,1,0,171,99,1,223,35,28,60,14,0,1,0
-1.699730356596574,-2.0475953252542363,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",294,Almora,India,University College,Liverpool,United Kingdom,Putney Heath,United Kingdom,False,-1.9617234557600494,False,-1.1897960444769118,0,0,0,1,0,0,425,254,1,0,0,0,1,0,13,54,1,220,88,27,211,45,1,0,0
-1.695927827834613,-2.0475953252542363,The Nobel Peace Prize 1902,"""for development of methods to cool and trap atoms with laser light""",464,Geneva,Switzerland,University of California,"Cambridge, MA",United States of America,Bern,Switzerland,False,-1.9617234557600494,False,0.7822834579446788,0,0,0,0,1,0,1,21,0,1,0,0,1,0,174,105,1,223,35,28,24,41,0,1,0
-1.6921252990726519,-2.0475953252542363,The Nobel Peace Prize 1902,"""for development of methods to cool and trap atoms with laser light""",465,Tramelan,Switzerland,University of California,"Cambridge, MA",United States of America,Bern,Switzerland,False,-1.9617234557600494,False,-0.03941633473098395,0,0,0,0,1,0,1,21,0,1,0,0,1,0,526,105,1,223,35,28,24,41,1,0,0
-1.688322770310691,-2.0475953252542363,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2,Arnhem,Netherlands,Leiden University,Leiden,Netherlands,Paris,Netherlands,False,-1.9617234557600494,False,-0.8611161274066467,0,0,0,0,0,1,315,522,0,1,0,0,1,0,22,70,1,116,84,19,197,27,1,0,0
-1.68452024154873,-2.0475953252542363,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",3,Zonnemaire,Netherlands,Amsterdam University,Amsterdam,Netherlands,Amsterdam,Netherlands,False,-1.9617234557600494,False,-1.847155878617442,0,0,0,0,0,1,315,522,0,1,0,0,1,0,596,70,1,4,2,19,3,27,1,0,0
-1.680717712786769,-2.017126052597687,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",162,Vik,Sweden,Stockholm University,Stockholm,Sweden,Stockholm,Sweden,False,-1.9617234557600494,False,-1.271966023744478,1,0,0,0,0,0,99,527,1,0,0,0,1,0,548,104,1,196,153,24,241,40,1,0,0
-1.676915184024808,-2.017126052597687,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",572,Kvikne,Norway,University of California,"Cambridge, MA",United States of America,Paris,France,False,-1.9617234557600494,False,0.9466234164798113,0,0,1,0,0,0,207,1,1,0,0,0,1,0,266,74,1,223,35,28,197,12,0,1,0
-1.6731126552628468,-2.017126052597687,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",295,Thorshavn,Faroe Islands (Denmark),Finsen Medical Light Institute,Copenhagen,Denmark,Copenhagen,Denmark,False,-1.9617234557600494,False,-1.3541360030120444,0,0,0,1,0,0,426,506,1,0,0,0,1,0,514,37,1,49,44,8,70,8,1,0,0
