device,alert_type,alert_id,severity_int,device_enc,alert_type_enc,source_enc,timestamp_unix,timestamp_month,timestamp_day,source_auvik,source_meraki,source_ncentral,device_encoded,alert_type_encoded,severity_Critical,severity_Emergency,severity_Failed,severity_Normal,severity_Warning,severity_warning
asa5515x-01.kslinc.net,VPN remote gateway is Lost,100,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,-1.5763303809456826,11,25,1,0,0,24,13,1,0,0,0,0,0
HAN-AZURE-ASAV,VPN remote gateway is Lost,101,0.2522693069992427,-0.5839629580917469,1.1189785255255085,-0.6361464251628642,-1.5762486995715566,11,25,1,0,0,11,13,1,0,0,0,0,0
JB-PORTLAND-FW,VPN connectivity changed,102,-0.7220121545150741,-0.10656258359338436,0.9623215319519371,-0.6361464251628642,-1.5762269178717896,11,25,1,0,0,14,12,0,0,0,0,0,1
Adaptive Security Appliance 'outside' interface on dpOBTfw02.dyopathcorp.com,Internet Connection is Lost,103,1.7136914992707177,-1.8252039317874897,0.02237957051051009,-0.6361464251628642,-1.4391328995385668,11,25,1,0,0,1,8,0,1,0,0,0,0
asa5515x-01.kslinc.net,VPN remote gateway is Lost,104,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,-1.4389695367903148,11,25,1,0,0,24,13,1,0,0,0,0,0
HAN-AZURE-ASAV,VPN remote gateway is Lost,105,0.2522693069992427,-0.5839629580917469,1.1189785255255085,-0.6361464251628642,-1.4389532005154895,11,25,1,0,0,11,13,1,0,0,0,0,0
asav-02.dyopathcorp.com,VPN remote gateway is Lost,106,0.2522693069992427,1.3256385399017034,1.1189785255255085,-0.6361464251628642,-1.438920527965839,11,25,1,0,0,26,13,1,0,0,0,0,0
GigabitEthernet1/0/7 on dyoOBTextsw02.dyopath.com,Interface Status Mismatch,112,-0.7220121545150741,-0.774923107891092,-0.1342774230630611,-0.6361464251628642,-1.438795283192179,11,25,1,0,0,9,7,0,0,0,0,1,0
CHI-CORE-SW02,Network Element Offline,108,1.7136914992707177,-1.4432836321887996,0.33569355765765246,-0.6361464251628642,-1.4386373658688687,11,25,1,0,0,3,9,0,1,0,0,0,0
slhvSCsw01,Network Element Offline,109,1.7136914992707177,1.7075588395003936,0.33569355765765246,-0.6361464251628642,-1.4386155841691017,11,25,1,0,0,30,9,0,1,0,0,0,0
DMG-NYC-AP01,Access Point Offline,110,-0.7220121545150741,-1.2523234823894545,-1.5441903652252018,-0.6361464251628642,-1.438479448545558,11,25,1,0,0,4,0,0,0,0,0,1,0
DMG-SLO-AP02,Access Point Offline,111,-0.7220121545150741,-1.0613633325901095,-1.5441903652252018,-0.6361464251628642,-1.4384522214208495,11,25,1,0,0,6,0,0,0,0,0,1,0
DMG-SLO-AP01,Access Point Offline,113,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,-1.4195239243233644,11,25,1,0,0,5,0,0,0,0,0,1,0
DMG-SLO-AP03,Access Point Offline,114,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,-1.4195021426235976,11,25,1,0,0,7,0,0,0,0,0,1,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,115,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,-1.4194585792240637,11,25,1,0,0,8,7,0,0,0,0,1,0
Adaptive Security Appliance 'outside' interface on dpOBTfw02.dyopathcorp.com,Internet Connection is Lost,116,1.7136914992707177,-1.8252039317874897,0.02237957051051009,-0.6361464251628642,-1.125465532044513,11,26,1,0,0,1,8,0,1,0,0,0,0
asa5515x-02.kslinc.net,VPN remote gateway is Lost,117,0.2522693069992427,1.230158465002031,1.1189785255255085,-0.6361464251628642,-1.1253130601461445,11,26,1,0,0,25,13,1,0,0,0,0,0
SFO-AZURE-ASAV,VPN remote gateway is Lost,118,0.2522693069992427,1.0391983152026858,1.1189785255255085,-0.6361464251628642,-1.125280387596494,11,26,1,0,0,23,13,1,0,0,0,0,0
asav-02.dyopathcorp.com,VPN remote gateway is Lost,119,0.2522693069992427,1.3256385399017034,1.1189785255255085,-0.6361464251628642,-1.1252694967466106,11,26,1,0,0,26,13,1,0,0,0,0,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,125,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,-1.1251388065480088,11,26,1,0,0,8,7,0,0,0,0,1,0
dpOBTlabsw01.dyopath.com,Network Element Offline,120,1.7136914992707177,1.421118614801376,0.33569355765765246,-0.6361464251628642,-1.124964552949873,11,26,1,0,0,27,9,0,1,0,0,0,0
slhvSCsw01,Network Element Offline,122,1.7136914992707177,1.7075588395003936,0.33569355765765246,-0.6361464251628642,-1.1249591075249314,11,26,1,0,0,30,9,0,1,0,0,0,0
DMG-SLO-AP02,Access Point Offline,124,-0.7220121545150741,-1.0613633325901095,-1.5441903652252018,-0.6361464251628642,-1.124822971901388,11,26,1,0,0,6,0,0,0,0,0,1,0
DMG-SLO-AP01,Access Point Offline,123,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,-1.1247957447766792,11,26,1,0,0,5,0,0,0,0,0,1,0
DMG-SLO-AP01,Access Point Offline,129,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,-0.9686264028725445,11,26,1,0,0,5,0,0,0,0,0,1,0
DMG-SLO-AP02,Access Point Offline,130,-0.7220121545150741,-1.0613633325901095,-1.5441903652252018,-0.6361464251628642,-0.9685991757478358,11,26,1,0,0,6,0,0,0,0,0,1,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,131,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,-0.9685882848979523,11,26,1,0,0,8,7,0,0,0,0,1,0
asa5515x-01.kslinc.net,VPN remote gateway is Lost,135,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,-0.8706196447711249,11,26,1,0,0,24,13,1,0,0,0,0,0
SFO-AZURE-ASAV,VPN remote gateway is Lost,136,0.2522693069992427,1.0391983152026858,1.1189785255255085,-0.6361464251628642,-0.8705379633969987,11,26,1,0,0,23,13,1,0,0,0,0,0
JB-CLACKAMAS-FW,VPN connectivity changed,137,-0.7220121545150741,-0.2020426584930569,0.9623215319519371,-0.6361464251628642,-0.8705161816972318,11,26,1,0,0,13,12,0,0,0,0,0,1
asa5515x-02.kslinc.net,VPN remote gateway is Lost,138,0.2522693069992427,1.230158465002031,1.1189785255255085,-0.6361464251628642,-0.517761553971375,11,27,1,0,0,25,13,1,0,0,0,0,0
HAN-AZURE-ASAV,VPN remote gateway is Lost,139,0.2522693069992427,-0.5839629580917469,1.1189785255255085,-0.6361464251628642,-0.517658090897482,11,27,1,0,0,11,13,1,0,0,0,0,0
JB-PORTLAND-FW,VPN connectivity changed,140,-0.7220121545150741,-0.10656258359338436,0.9623215319519371,-0.6361464251628642,-0.5176363091977151,11,27,1,0,0,14,12,0,0,0,0,0,1
DMG-NYC-AP01,Access Point Offline,141,-0.7220121545150741,-1.2523234823894545,-1.5441903652252018,-0.6361464251628642,-0.400124038954986,11,27,1,0,0,4,0,0,0,0,0,1,0
DMG-SLO-AP03,Access Point Offline,142,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,-0.40010770268016077,11,27,1,0,0,7,0,0,0,0,0,1,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,143,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,-0.40008592098039386,11,27,1,0,0,8,7,0,0,0,0,1,0
asa5515x-01.kslinc.net,VPN remote gateway is Lost,146,0.2522693069992427,1.1346783901023583,1.1189785255255085,-0.6361464251628642,-0.3413080041592624,11,27,1,0,0,24,13,1,0,0,0,0,0
SFO-AZURE-ASAV,VPN remote gateway is Lost,147,0.2522693069992427,1.0391983152026858,1.1189785255255085,-0.6361464251628642,-0.341231768210078,11,27,1,0,0,23,13,1,0,0,0,0,0
JB-CLACKAMAS-FW,VPN connectivity changed,148,-0.7220121545150741,-0.2020426584930569,0.9623215319519371,-0.6361464251628642,-0.34120998651031104,11,27,1,0,0,13,12,0,0,0,0,0,1
DMG-SLO-AP01,Access Point Offline,152,-0.7220121545150741,-1.156843407489782,-1.5441903652252018,-0.6361464251628642,-0.0080643339996567,11,28,1,0,0,5,0,0,0,0,0,1,0
DMG-SLO-AP03,Access Point Offline,153,-0.7220121545150741,-0.965883257690437,-1.5441903652252018,-0.6361464251628642,-0.008042552299889743,11,28,1,0,0,7,0,0,0,0,0,1,0
GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,Interface Status Mismatch,154,-0.7220121545150741,-0.8704031827907645,-0.1342774230630611,-0.6361464251628642,-0.008020770600122787,11,28,1,0,0,8,7,0,0,0,0,1,0
Adaptive Security Appliance 'outside' interface on dpOBTfw01.dyopathcorp.com,Internet Connection is Lost,163,1.7136914992707177,-1.9206840066871622,0.02237957051051009,-0.6361464251628642,0.3644136228651789,11,29,1,0,0,0,8,0,1,0,0,0,0
